-bash-4.2$ /scratch/repo/libPSI/bin/frontend.exe -cuckoo  -h 2 -x 72 -nn 6 -nnEnd 22  -e 2.4  -eStep 0.1 -eEnd 5 -t 24
#threads=72  trials=24 n=64 nEnd=4194304
e=4.700   |set|=1024  |cuckoo|=4812  15.034                                 00  >24.000  >24.000
e=4.800   |set|=1024  |cuckoo|=4915  15.154                                 00  >24.000  >24.000
e=4.900   |set|=1024  |cuckoo|=5017  15.242                                 00  >24.000  >24.000
e=5.000   |set|=1024  |cuckoo|=5119  15.389                                 00  >24.000  >24.000
e=2.400   |set|=4096  |cuckoo|=9830  8.585  14.360  19.300  23.000
e=2.500   |set|=4096  |cuckoo|=10240  9.500  16.069  21.415  24.000
e=2.600   |set|=4096  |cuckoo|=10649  10.278  17.400  24.000                                 00
e=2.700   |set|=4096  |cuckoo|=11059  10.922  18.956  24.000                                 00
e=2.800   |set|=4096  |cuckoo|=11468  11.487  20.093                                 00  >24.000
e=2.900   |set|=4096  |cuckoo|=11878  12.027  21.415  24.000                                 009
e=3.000   |set|=4096  |cuckoo|=12288  12.553  22.000                                 00  >24.000
e=3.100   |set|=4096  |cuckoo|=12697  12.928  22.000                                 00  >24.000
e=3.200   |set|=4096  |cuckoo|=13107  13.331  24.000                                 00  >24.000
e=3.300   |set|=4096  |cuckoo|=13516  13.648  23.000                                 00  >24.000
e=3.400   |set|=4096  |cuckoo|=13926  13.997  24.000                                 00  >24.000
e=3.500   |set|=4096  |cuckoo|=14336  14.294                                 00  >24.000  >24.000
e=3.600   |set|=4096  |cuckoo|=14745  14.549  24.000                                 00  >24.000
e=3.700   |set|=4096  |cuckoo|=15155  14.813                                 00  >24.000  >24.000
e=3.800   |set|=4096  |cuckoo|=15564  15.272                                 00  >24.000  >24.000
e=3.900   |set|=4096  |cuckoo|=15974  15.434                                 00  >24.000  >24.000
e=4.000   |set|=4096  |cuckoo|=16384  15.524                                 00  >24.000  >24.000
e=4.100   |set|=4096  |cuckoo|=16793  15.835                                 00  >24.000  >24.000
e=4.200   |set|=4096  |cuckoo|=17203  15.989                                 00  >24.000  >24.000
e=4.300   |set|=4096  |cuckoo|=17612  16.272                                 00  >24.000  >24.000
e=4.400   |set|=4096  |cuckoo|=18022  16.321                                 00  >24.000  >24.000
